# S070, the smear: every cheap fix tried, with numbers

## per-axis density and axis top (12 points baseline)
S330 far/gia-heavy/comfortable/light       pts       20 resil=shortfall wR=1          table@0 89.1  sim solver 78.5  bias +10.5  | best [0] sv 88.88 score 1.7606 | fixed [12] sv 88.88 score 1.7606 sim 80.2  | 184s
S342 far/balanced/comfortable/light        pts       20 resil=shortfall wR=1          table@0 83.7  sim solver 72.9  bias +10.7  | best [0] sv 83.53 score 1.6703 | fixed [12] sv 83.53 score 1.6703 sim 74.1  | 182s
S112 just-retired/cash-heavy/modest/moder  pts       20 resil=shortfall wR=1          table@0 98.4  sim solver 96.9  bias +1.5  | best [1] sv 98.33 score 1.9275 | fixed [10] sv 98.38 score 1.9268 sim 97.3  | 124s
S318 far/isa-heavy/comfortable/light       pts       20 resil=shortfall wR=1          table@0 86.8  sim solver 78.4  bias +8.4  | best [0] sv 86.68 score 1.7196 | fixed [12] sv 86.68 score 1.7196 sim 79.2  | 182s
S004 in-drawdown/pension-heavy/modest/mod  pts       20 resil=shortfall wR=1          table@0 96.0  sim solver 93.5  bias +2.5  | best [5] sv 95.86 score 1.8837 | fixed [1] sv 95.58 score 1.8756 sim 92.2  | 105s
S082 just-retired/isa-heavy/wealthy/moder  pts       20 resil=shortfall wR=1          table@0 87.7  sim solver 83.5  bias +4.1  | best [4] sv 87.37 score 1.6745 | fixed [0] sv 87.08 score 1.6689 sim 81.7  | 116s
S354 far/cash-heavy/comfortable/light      pts       20 resil=shortfall wR=1          table@0 90.8  sim solver 82.7  bias +8.1  | best [0] sv 90.64 score 1.8158 | fixed [10] sv 90.64 score 1.8158 sim 80.3  | 180s
S070 just-retired/pension-heavy/wealthy/m  pts       24 richardson                    table@0 79.0  sim solver 66.5  bias +12.5  | best [1] sv 78.17 score 1.1120 | fixed [12] sv 78.67 score 1.1185 sim 70.3  | 234s
S070 just-retired/pension-heavy/wealthy/m  pts       20 gain=6                        table@0 80.8  sim solver 67.9  bias +13.0  | best [18] sv 80.55 score 1.1439 | fixed [12] sv 80.26 score 1.1405 sim 70.3  | 241s
S318 far/isa-heavy/comfortable/light       pts       20 gain=6                        table@0 86.9  sim solver 78.5  bias +8.4  | best [0] sv 86.80 score 1.3427 | fixed [12] sv 86.80 score 1.3427 sim 79.2  | 381s
S342 far/balanced/comfortable/light        pts       24 richardson                    table@0 81.3  sim solver 73.1  bias +8.2  | best [0] sv 81.22 score 1.2605 | fixed [12] sv 81.22 score 1.2605 sim 74.1  | 369s
